Timestamp,Stress Probability (%),Key Pressed,Latency (ms)
13:05:2025:23:13:52,0.62%,Space,45.496
13:05:2025:23:13:52,0.69%,Space,46.316
13:05:2025:23:13:52,0.00%,Space,46.055
13:05:2025:23:13:52,0.00%,Space,45.876
13:05:2025:23:13:52,93.64%,W,49.568
13:05:2025:23:13:52,0.00%,Space,52.728
13:05:2025:23:13:52,0.04%,Space,48.624
13:05:2025:23:13:52,0.00%,Space,46.311
13:05:2025:23:13:52,0.19%,Space,44.045
13:05:2025:23:13:52,0.65%,Space,50.110
13:05:2025:23:13:52,0.64%,Space,49.047
13:05:2025:23:13:52,0.65%,Space,43.661
13:05:2025:23:13:52,0.20%,Space,47.702
13:05:2025:23:13:52,0.00%,Space,46.662
13:05:2025:23:13:52,23.71%,Space,54.715
13:05:2025:23:13:52,0.00%,Space,46.065
13:05:2025:23:13:52,0.64%,Space,45.566
13:05:2025:23:13:52,0.00%,Space,52.619
13:05:2025:23:13:52,0.09%,Space,46.983
13:05:2025:23:13:52,0.09%,Space,44.727
13:05:2025:23:13:52,0.09%,Space,50.247
13:05:2025:23:13:52,2.46%,Space,44.912
13:05:2025:23:13:52,0.00%,Space,45.357
13:05:2025:23:13:52,0.00%,Space,51.457
13:05:2025:23:13:52,0.00%,Space,45.648
13:05:2025:23:13:52,0.00%,Space,45.864
13:05:2025:23:13:52,1.99%,Space,46.423
13:05:2025:23:13:52,75.49%,W,47.466
13:05:2025:23:13:52,0.59%,Space,44.667
13:05:2025:23:13:52,0.09%,Space,44.332
13:05:2025:23:13:52,0.09%,Space,47.730
13:05:2025:23:13:52,0.27%,Space,44.604
13:05:2025:23:13:52,0.00%,Space,52.221
13:05:2025:23:13:52,0.00%,Space,48.086
13:05:2025:23:13:52,0.00%,Space,47.039
13:05:2025:23:13:52,0.00%,Space,46.793
13:05:2025:23:13:52,0.86%,Space,46.173
13:05:2025:23:13:52,86.92%,W,47.713
13:05:2025:23:13:52,0.55%,Space,55.098
13:05:2025:23:13:52,0.14%,Space,49.137
13:05:2025:23:13:52,0.00%,Space,45.681
13:05:2025:23:13:52,4.60%,Space,51.799
13:05:2025:23:13:52,0.00%,Space,46.305
13:05:2025:23:13:52,0.00%,Space,48.781
13:05:2025:23:13:52,0.00%,Space,49.865
13:05:2025:23:13:52,0.00%,Space,56.616
13:05:2025:23:13:52,0.00%,Space,55.346
13:05:2025:23:13:52,97.46%,W,45.926
13:05:2025:23:13:52,0.56%,Space,47.013
13:05:2025:23:13:52,0.31%,Space,49.322
13:05:2025:23:13:52,0.09%,Space,49.712
13:05:2025:23:13:52,0.09%,Space,46.674
13:05:2025:23:13:52,27.06%,Space,46.658
13:05:2025:23:13:52,0.00%,Space,44.846
13:05:2025:23:13:52,0.00%,Space,47.413
13:05:2025:23:13:52,0.00%,Space,47.134
13:05:2025:23:13:52,0.01%,Space,50.373
13:05:2025:23:13:52,84.37%,W,53.083
13:05:2025:23:13:52,6.22%,Space,54.794
13:05:2025:23:13:52,0.69%,Space,50.930
13:05:2025:23:13:52,0.09%,Space,45.574
13:05:2025:23:13:52,0.09%,Space,46.443
13:05:2025:23:13:52,4.09%,Space,46.324
13:05:2025:23:13:52,0.00%,Space,47.185
13:05:2025:23:13:52,0.00%,Space,45.167
13:05:2025:23:13:52,0.00%,Space,45.184
13:05:2025:23:13:52,0.03%,Space,45.748
13:05:2025:23:13:52,35.10%,Space,45.657
13:05:2025:23:13:52,87.73%,W,50.791
13:05:2025:23:13:52,0.64%,Space,49.223
13:05:2025:23:13:52,0.09%,Space,56.828
13:05:2025:23:13:52,0.09%,Space,61.862
13:05:2025:23:13:52,0.51%,Space,51.924
13:05:2025:23:13:52,0.00%,Space,61.993
13:05:2025:23:13:52,0.00%,Space,46.802
13:05:2025:23:13:52,0.00%,Space,48.036
13:05:2025:23:13:52,0.00%,Space,45.540
13:05:2025:23:13:52,0.27%,Space,54.399
13:05:2025:23:13:52,98.63%,W,48.815
13:05:2025:23:13:52,0.58%,Space,48.006
13:05:2025:23:13:52,0.09%,Space,46.611
13:05:2025:23:13:52,0.09%,Space,47.304
13:05:2025:23:13:52,0.11%,Space,46.510
13:05:2025:23:13:52,0.66%,Space,46.709
13:05:2025:23:13:52,0.00%,Space,48.516
13:05:2025:23:13:52,0.00%,Space,46.100
13:05:2025:23:13:52,0.00%,Space,51.117
13:05:2025:23:13:52,0.00%,Space,45.035
13:05:2025:23:13:52,91.71%,W,63.541
13:05:2025:23:13:52,0.54%,Space,45.974
13:05:2025:23:13:52,0.11%,Space,66.072
13:05:2025:23:13:52,0.09%,Space,45.926
13:05:2025:23:13:52,0.09%,Space,44.271
13:05:2025:23:13:52,54.26%,W,47.781
13:05:2025:23:13:52,0.00%,Space,45.308
13:05:2025:23:13:52,0.00%,Space,48.096
13:05:2025:23:13:52,0.00%,Space,51.304
13:05:2025:23:13:52,0.00%,Space,45.782
13:05:2025:23:13:52,83.73%,W,47.594
13:05:2025:23:13:52,8.12%,Space,47.158
13:05:2025:23:13:52,0.67%,Space,45.856
13:05:2025:23:13:52,0.09%,Space,65.648
13:05:2025:23:13:52,0.09%,Space,46.391
13:05:2025:23:13:52,10.60%,Space,53.210
13:05:2025:23:13:52,0.00%,Space,49.771
13:05:2025:23:13:52,0.00%,Space,46.458
13:05:2025:23:13:52,0.00%,Space,44.736
13:05:2025:23:13:52,0.00%,Space,46.935
13:05:2025:23:13:52,29.20%,Space,44.213
13:05:2025:23:13:52,81.32%,W,47.215
13:05:2025:23:13:52,0.67%,Space,46.516
13:05:2025:23:13:52,0.09%,Space,45.655
13:05:2025:23:13:52,0.09%,Space,61.283
13:05:2025:23:13:52,0.61%,Space,50.560
13:05:2025:23:13:52,0.00%,Space,48.918
13:05:2025:23:13:52,0.00%,Space,45.845
13:05:2025:23:13:52,0.00%,Space,46.617
13:05:2025:23:13:52,0.00%,Space,46.765
13:05:2025:23:13:52,14.93%,Space,46.610
13:05:2025:23:13:52,90.35%,W,46.677
13:05:2025:23:13:52,0.58%,Space,46.061
13:05:2025:23:13:52,0.09%,Space,44.529
13:05:2025:23:13:52,0.09%,Space,53.822
13:05:2025:23:13:52,0.10%,Space,53.234
13:05:2025:23:13:52,0.00%,Space,45.363
13:05:2025:23:13:52,0.00%,Space,49.325
13:05:2025:23:13:52,0.00%,Space,46.279
13:05:2025:23:13:52,0.00%,Space,47.736
13:05:2025:23:13:52,0.46%,Space,47.014
13:05:2025:23:13:52,93.34%,W,47.481
13:05:2025:23:13:52,0.53%,Space,44.721
13:05:2025:23:13:52,0.09%,Space,50.267
13:05:2025:23:13:52,0.09%,Space,46.390
13:05:2025:23:13:52,0.09%,Space,44.302
13:05:2025:23:13:52,14.25%,Space,50.161
13:05:2025:23:13:52,0.00%,Space,47.302
13:05:2025:23:13:52,0.00%,Space,52.005
13:05:2025:23:13:52,0.00%,Space,49.981
13:05:2025:23:13:52,0.00%,Space,45.569
13:05:2025:23:13:52,85.41%,W,43.942
13:05:2025:23:13:52,5.08%,Space,51.145
13:05:2025:23:13:52,0.60%,Space,45.801
13:05:2025:23:13:52,0.09%,Space,45.823
13:05:2025:23:13:52,0.09%,Space,45.913
13:05:2025:23:13:52,11.89%,Space,45.688
13:05:2025:23:13:52,0.00%,Space,47.022
13:05:2025:23:13:52,0.00%,Space,45.195
13:05:2025:23:13:52,0.00%,Space,50.956
13:05:2025:23:13:52,0.00%,Space,48.123
13:05:2025:23:13:52,76.92%,W,49.719
13:05:2025:23:13:52,27.06%,Space,49.186
13:05:2025:23:13:52,0.69%,Space,44.529
13:05:2025:23:13:52,0.09%,Space,45.000
13:05:2025:23:13:52,0.09%,Space,49.566
13:05:2025:23:13:52,2.04%,Space,45.798
13:05:2025:23:13:52,0.00%,Space,48.095
13:05:2025:23:13:52,0.00%,Space,47.987
13:05:2025:23:13:52,0.00%,Space,48.224
13:05:2025:23:13:52,0.00%,Space,47.639
13:05:2025:23:13:52,0.01%,Space,44.886
13:05:2025:23:13:52,12.27%,Space,44.719
13:05:2025:23:13:52,0.69%,Space,45.829
13:05:2025:23:13:52,0.09%,Space,44.345
13:05:2025:23:13:52,0.00%,Space,44.854
13:05:2025:23:13:52,0.00%,Space,47.922
13:05:2025:23:13:52,0.00%,Space,45.523
13:05:2025:23:13:52,0.00%,Space,46.234
13:05:2025:23:13:52,0.00%,Space,47.865
13:05:2025:23:13:52,0.00%,Space,44.666
13:05:2025:23:13:52,0.00%,Space,48.780
13:05:2025:23:13:52,97.39%,W,50.204
13:05:2025:23:13:52,0.83%,Space,45.909
13:05:2025:23:13:52,0.58%,Space,45.581
13:05:2025:23:13:52,0.00%,Space,47.849
13:05:2025:23:13:52,0.00%,Space,47.339
13:05:2025:23:13:52,0.00%,Space,48.461
13:05:2025:23:13:52,0.00%,Space,58.840
13:05:2025:23:13:52,0.00%,Space,48.434
13:05:2025:23:13:52,0.09%,Space,47.209
13:05:2025:23:13:52,0.00%,Space,46.971
13:05:2025:23:13:52,0.00%,Space,46.547
13:05:2025:23:13:52,0.00%,Space,46.258
13:05:2025:23:13:52,1.39%,Space,46.234
13:05:2025:23:13:52,0.00%,Space,47.251
13:05:2025:23:13:52,0.00%,Space,46.528
13:05:2025:23:13:52,0.00%,Space,50.741
13:05:2025:23:13:52,0.00%,Space,46.795
13:05:2025:23:13:52,0.00%,Space,46.858
13:05:2025:23:13:52,0.11%,Space,49.518
13:05:2025:23:13:52,0.00%,Space,47.485
13:05:2025:23:13:52,0.00%,Space,46.718
13:05:2025:23:13:52,0.08%,Space,48.345
13:05:2025:23:13:52,0.08%,Space,44.308
13:05:2025:23:13:52,0.09%,Space,52.971
13:05:2025:23:13:52,0.53%,Space,50.710
13:05:2025:23:13:52,0.00%,Space,47.767
13:05:2025:23:13:52,0.00%,Space,46.258
13:05:2025:23:13:52,0.00%,Space,47.877
13:05:2025:23:13:52,0.00%,Space,47.105
13:05:2025:23:13:52,0.00%,Space,46.743
13:05:2025:23:13:52,0.08%,Space,48.451
13:05:2025:23:13:52,0.08%,Space,49.252
13:05:2025:23:13:52,0.08%,Space,47.351
13:05:2025:23:13:52,0.08%,Space,56.814
13:05:2025:23:13:52,0.70%,Space,46.443
13:05:2025:23:13:52,0.00%,Space,46.387
13:05:2025:23:13:52,0.00%,Space,46.949
13:05:2025:23:13:52,0.00%,Space,46.752
13:05:2025:23:13:52,0.00%,Space,49.477
13:05:2025:23:13:52,0.00%,Space,52.645
13:05:2025:23:13:52,0.08%,Space,49.879
13:05:2025:23:13:52,0.00%,Space,46.529
13:05:2025:23:13:52,0.54%,Space,49.301
13:05:2025:23:13:52,0.08%,Space,47.612
13:05:2025:23:13:52,0.09%,Space,48.171
13:05:2025:23:13:52,0.54%,Space,46.041
13:05:2025:23:13:52,0.00%,Space,71.069
13:05:2025:23:13:52,0.00%,Space,45.378
13:05:2025:23:13:52,0.00%,Space,47.840
13:05:2025:23:13:52,0.00%,Space,45.111
13:05:2025:23:13:52,0.08%,Space,43.799
13:05:2025:23:13:52,0.00%,Space,56.076
13:05:2025:23:13:52,0.08%,Space,46.149
13:05:2025:23:13:52,0.08%,Space,48.260
13:05:2025:23:13:52,0.09%,Space,44.881
13:05:2025:23:13:52,0.62%,Space,46.957
13:05:2025:23:13:52,0.00%,Space,46.234
13:05:2025:23:13:52,0.00%,Space,46.889
13:05:2025:23:13:52,0.00%,Space,47.854
13:05:2025:23:13:52,0.00%,Space,46.375
13:05:2025:23:13:52,0.08%,Space,48.663
13:05:2025:23:13:52,0.00%,Space,44.957
13:05:2025:23:13:52,0.08%,Space,47.966
13:05:2025:23:13:52,0.08%,Space,46.712
13:05:2025:23:13:52,0.09%,Space,51.486
13:05:2025:23:13:52,0.60%,Space,47.822
13:05:2025:23:13:52,0.00%,Space,47.011
13:05:2025:23:13:52,0.00%,Space,47.352
13:05:2025:23:13:52,0.00%,Space,46.472
13:05:2025:23:13:52,0.00%,Space,48.973
13:05:2025:23:13:52,0.00%,Space,49.531
13:05:2025:23:13:52,0.00%,Space,46.617
13:05:2025:23:13:52,0.08%,Space,47.921
13:05:2025:23:13:52,0.08%,Space,50.994
13:05:2025:23:13:52,0.09%,Space,48.449
13:05:2025:23:13:52,0.51%,Space,48.177
13:05:2025:23:13:52,0.00%,Space,45.767
13:05:2025:23:13:52,0.00%,Space,47.361
13:05:2025:23:13:52,0.00%,Space,52.258
13:05:2025:23:13:52,0.00%,Space,43.849
13:05:2025:23:13:52,0.00%,Space,47.052
13:05:2025:23:13:52,0.00%,Space,46.334
13:05:2025:23:13:52,0.08%,Space,45.249
13:05:2025:23:13:52,0.53%,Space,47.367
13:05:2025:23:13:52,0.08%,Space,50.390
13:05:2025:23:13:52,0.54%,Space,48.414
13:05:2025:23:13:52,0.01%,Space,52.397
13:05:2025:23:13:52,0.00%,Space,55.602
13:05:2025:23:13:52,0.00%,Space,45.081
13:05:2025:23:13:52,0.00%,Space,61.879
13:05:2025:23:13:52,0.00%,Space,48.723
13:05:2025:23:13:52,0.08%,Space,46.516
13:05:2025:23:13:52,0.00%,Space,49.091
13:05:2025:23:13:52,0.08%,Space,46.861
13:05:2025:23:13:52,0.08%,Space,45.505
13:05:2025:23:13:52,0.61%,Space,47.379
13:05:2025:23:13:52,0.02%,Space,54.997
13:05:2025:23:13:52,0.00%,Space,44.659
13:05:2025:23:13:52,0.00%,Space,49.849
13:05:2025:23:13:52,0.00%,Space,47.374
13:05:2025:23:13:52,0.00%,Space,49.460
13:05:2025:23:13:52,0.08%,Space,46.038
13:05:2025:23:13:52,0.00%,Space,44.595
13:05:2025:23:13:52,0.08%,Space,46.072
13:05:2025:23:13:52,0.08%,Space,47.406
13:05:2025:23:13:52,0.15%,Space,47.497
13:05:2025:23:13:52,0.18%,Space,47.258
13:05:2025:23:13:52,0.00%,Space,45.991
13:05:2025:23:13:52,0.00%,Space,47.661
13:05:2025:23:13:52,0.00%,Space,53.434
13:05:2025:23:13:52,0.00%,Space,47.871
13:05:2025:23:13:52,0.00%,Space,46.373
13:05:2025:23:13:52,0.00%,Space,48.372
13:05:2025:23:13:52,0.08%,Space,49.648
13:05:2025:23:13:52,0.08%,Space,48.376
13:05:2025:23:13:52,0.10%,Space,44.937
13:05:2025:23:13:52,0.31%,Space,47.765
13:05:2025:23:13:52,0.00%,Space,47.135
